company_id,issue,category
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INDUSINDBK,Financial Sector,Bank ROCE Carve-Out
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
INFY,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IOC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRCTC,ROE Difference,Formula Discrepancy
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
IRFC,Financial Sector,Bank ROCE Carve-Out
ITC,ROE Difference,Formula Discrepancy
ITC,ROE Difference,Formula Discrepancy
ITC,ROE Difference,Formula Discrepancy
ITC,ROE Difference,Formula Discrepancy
ITC,ROE Difference,Formula Discrepancy
ITC,ROE Difference,Formula Discrepancy
JINDALSTEL,ROE Difference,Formula Discrepancy
JINDALSTEL,ROE Difference,Formula Discrepancy
JINDALSTEL,ROE Difference,Formula Discrepancy
JINDALSTEL,ROE Difference,Formula Discrepancy
